 2012-11-02 11:32:03 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | Request: 
 2012-11-02 11:32:03 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:76)                  | POST http://api.twitter.com/1/statuses/update.json
 2012-11-02 11:32:03 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:76)                  | OAuth base string: POST&http%3A%2F%2Fapi.twitter.com%2F1%2Fstatuses%2Fupdate.json&include_entities%3Dtrue%26oauth_consumer_key%3DS2kJzMGLchDwbi5pc8n7A%26oauth_nonce%3D1169951381%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1351881123%26oauth_token%3D921500394-68E7UPAwIxAUgecsOnGQbbICb4EWSReP281ElQWV%26oauth_version%3D1.0%26status%3DCheck%2520out%2520golddiggers310.appspot.com%2521
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:76)                  | OAuth signature: i3hVcYkyLRriCKlfrm36Nx4/MxE=
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:76)                  | Authorization: *********************************************************************************************************************************************************************************************************************************************************************************
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | X-Twitter-Client-URL: http://twitter4j.org/en/twitter4j-2.2.6.xml
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | X-Twitter-Client: Twitter4J
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | Accept-Encoding: gzip
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | User-Agent: twitter4j http://twitter4j.org/ /2.2.6
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:68)                  | X-Twitter-Client-Version: 2.2.6
 2012-11-02 11:32:04 | DEBUG | debug | twitter4j.internal.logging.CommonsLoggingLogger.debug(CommonsLoggingLogger.java:76)                  | Post Params: status=Check%20out%20golddiggers310.appspot.com%21&include_entities=true
